geo_padre_nombre,geografia_nombre,SublineaTematica,Indicador,Valor
BOGOTA D.C.,BOGOTA D.C.,DEMOGRAFIA,POBLACION POR (# personas),7878783
BOGOTA D.C.,BOGOTA D.C.,ESPACIO PUBLICO,ESPACIO PUBLICO EFECTIVO POR HABITANTE (numerico),3.69
BOGOTA D.C.,BOGOTA D.C.,ESPACIO PUBLICO,ESPACIO PUBLICO VERDE POR HABITANTE (numerico),6
BOGOTA D.C.,BOGOTA D.C.,ESPACIO PUBLICO,NUMERO DE ARBOLES POR CADA 100.000 HABITANTES (numerico),15683
BOGOTA D.C.,BOGOTA D.C.,ESPACIO PUBLICO,NUMERO DE METROS CUADRADOS DE ESPACIO PUBLICO RECUPERADOS (numerico),702565
BOGOTA D.C.,BOGOTA D.C.,ESPACIO PUBLICO,NUMERO DE METROS CUADRADOS DE ESPACIO PUBLICO RESTITUIDOS POR HECHOS NOTORIOS (numerico),456059
BOGOTA D.C.,BOGOTA D.C.,ESPACIO PUBLICO,NUMERO DE METROS CUADRADOS DE ESPACIO PUBLICO RESTITUIDOS VOLUNTARIAMENTE (numerico),246506
BOGOTA D.C.,BOGOTA D.C.,HABITAT,AREA LICENCIADA DESTINO COMERCIO (m2),524714
BOGOTA D.C.,BOGOTA D.C.,HABITAT,AREA LICENCIADA DESTINO INDUSTRIA (m2),45442
BOGOTA D.C.,BOGOTA D.C.,HABITAT,AREA LICENCIADA DESTINO VIVIENDA (m2),3338932
BOGOTA D.C.,BOGOTA D.C.,HABITAT,AREA LICENCIADA OTROS DESTINOS (m2),926076
BOGOTA D.C.,BOGOTA D.C.,HABITAT,NUMERO DE PREDIOS  BASE CATASTRAL  (RURAL Y URBANO) (numerico),2481705
BOGOTA D.C.,BOGOTA D.C.,HABITAT,NUMERO DE PREDIOS  RURALES BASE CATASTRAL. (numerico),29879
BOGOTA D.C.,BOGOTA D.C.,HABITAT,NUMERO DE PREDIOS URBANOS BASE CATASTRAL (numerico),2451826
BOGOTA D.C.,BOGOTA D.C.,HABITAT,NUMERO DE VIVIENDAS NUEVAS (numerico),33296
BOGOTA D.C.,BOGOTA D.C.,HABITAT,PREDIOS CLASIFICADOS COMO NO PROPIEDAD HORIZONTAL (numerico),870995
BOGOTA D.C.,BOGOTA D.C.,HABITAT,PREDIOS URBANOS (CENSO INMOBILIARIO) (numerico),2481705
BOGOTA D.C.,BOGOTA D.C.,HABITAT,SUBSIDIOS DISTRITALES DE VIVIENDA GENERADOS PARA VIVIENDA O MEJORAMIENTO (numerico),6513
BOGOTA D.C.,BOGOTA D.C.,HABITAT,VIVIENDAS VIP EN CONSTRUCCION (numerico),11579
BOGOTA D.C.,BOGOTA D.C.,HABITAT,VIVIENDAS VIP EN ESTUDIOS Y DISENOS (numerico),11623
BOGOTA D.C.,BOGOTA D.C.,HABITAT,VIVIENDAS VIP EN OBRAS DE URBANISMO (numerico),273
BOGOTA D.C.,BOGOTA D.C.,HABITAT,VIVIENDAS VIP EN TRAMITES DE LICENCIAMIENTO (numerico),6116
BOGOTA D.C.,BOGOTA D.C.,HABITAT,VIVIENDAS VIS EN ESTUDIOS Y DISENOS (numerico),2354
BOGOTA D.C.,BOGOTA D.C.,RENOVACION URBANA,AREA DE SUELO EN PLANES PARCIALES DE RENOVACION URBANA ADOPTADOS (ha2),40.84
BOGOTA D.C.,BOGOTA D.C.,RENOVACION URBANA,AREA DE SUELO EN PLANES PARCIALES DE RENOVACION URBANA CON CONCEPTO DE VIABILIDAD. (ha2),29.13
BOGOTA D.C.,BOGOTA D.C.,RENOVACION URBANA,AREA DE SUELO EN PLANES PARCIALES DE RENOVACION URBANA EN FASE DE FORMULACION. (ha2),166.87
BOGOTA D.C.,BOGOTA D.C.,RENOVACION URBANA,NUMERO DE PLANES PARCIALES DE RENOVACION URBANA ADOPTADOS (numerico),6
BOGOTA D.C.,BOGOTA D.C.,RENOVACION URBANA,NUMERO DE PLANES PARCIALES DE RENOVACION URBANA CON CONCEPTO DE VIABILIDAD (numerico),3
BOGOTA D.C.,BOGOTA D.C.,RENOVACION URBANA,NUMERO DE PLANES PARCIALES DE RENOVACION URBANA EN FASE DE FORMULACION (numerico),4
BOGOTA D.C.,BOGOTA D.C.,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),163663.0811
BOGOTA D.C.,BOGOTA D.C.,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),1636.630811
